Date,Not indexed,Indexed,Impressions
2026-05-05,,,0
2026-05-06,,,6
2026-05-07,,,4
2026-05-08,66,3,1
2026-05-09,76,11,4
2026-05-10,76,11,4
2026-05-11,76,11,17
2026-05-12,142,16,41
2026-05-13,142,16,76
2026-05-14,142,16,82
2026-05-15,142,16,33
2026-05-16,290,77,55
2026-05-17,290,77,46
2026-05-18,290,77,226
2026-05-19,249,140,363
2026-05-20,249,140,604
2026-05-21,249,140,594
2026-05-22,249,140,566
2026-05-23,252,153,352
2026-05-24,252,153,378
2026-05-25,252,153,364
2026-05-26,238,206,96
2026-05-27,238,206,23
2026-05-28,238,206,11
2026-05-29,238,206,4
2026-05-30,212,219,20
2026-05-31,212,219,12
2026-06-01,212,219,14
2026-06-02,248,212,7
2026-06-03,248,212,3
2026-06-04,248,212,4
2026-06-05,248,212,17